Stock Symbol,Stock Price,Strike,Call Price,Call %,Put Price,Put %,Expiration Date
AAPL,209.95,175.0,33.45,-0.00714455822814956,1.06,-0.006620623958085194,2018-11-08 18:00:00
,,180.0,29.4,-0.002619671350321424,2.16,0.010526315789473722,2018-11-08 18:00:00
